St  Name                           Version                        Arch   Description                                                  Licenses
ii  dmsetup                        2:1.02.137-2                   armhf  Linux Kernel Device Mapper userspace library                 GPL-2 LGPL-2.1
ii  dns-root-data                  2019031302~deb9u1              all    DNS root data including root zone and DNSSEC key             Expat
ii  doc-base                       0.10.7                         all    utilities to manage online documentation                     GPL-2+
ii  dosfstools                     4.1-1                          armhf  utilities for making and checking MS-DOS FAT filesystems     GPL-3+ public-domain
ii  dphys-swapfile                 20100506-3                     all    Autogenerate and use a swap file                             BSD-3-Clause BSD-3-Clause or GPL-2+ GPL-2+ GPL-3
ii  dpkg                           1.18.25                        armhf  Debian package management system                             BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
ii  dpkg-dev                       1.18.25                        all    Debian package development tools                             BSD-2-clause GPL-2 GPL-2+ public-domain-md5 public-domain-s-s-d
ii  e2fslibs:armhf                 1.43.4-2+deb9u2                armhf  ext2/ext3/ext4 file system libraries                         GPL-2 LGPL-2
ii  e2fsprogs                      1.43.4-2+deb9u2                armhf  ext2/ext3/ext4 file system utilities                         GPL-2 LGPL-2
ii  ed                             1.10-2.1                       armhf  classic UNIX line editor                                     GFDL-1.2 GPL-3
ii  fake-hwclock                   0.11+rpt1                      all    Save/restore system clock on machines without working RTC ha GPL-2
ii  fakeroot                       1.21-3.1                       armhf  tool for simulating superuser privileges                     Artistic GPL-3
ii  fbset                          2.1-29                         armhf  framebuffer device maintenance program                       GPL-2
ii  ffmpeg                         7:3.2.15-0+deb9u2              armhf  Tools for transcoding, streaming and playing of multimedia f BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  file                           1:5.30-1+deb9u3                armhf  Recognize the type of data in a file using "magic" numbers   BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  findutils                      4.6.0+git+20161106-2           armhf  utilities for finding files--find, xargs                     GFDL-1.3 GPL-3
ii  firmware-atheros               1:20161130-3+rpt4              all    Binary firmware for Atheros wireless cards                   Binary redistribution (Atheros) Binary redistribution (Qualcomm Atheros) Open ath9k HTC firmware
ii  firmware-brcm80211             1:20161130-3+rpt4              all    Binary firmware for Broadcom 802.11 wireless cards           public domain
ii  firmware-libertas              1:20161130-3+rpt4              all    Binary firmware for Marvell wireless cards                   Binary redistribution (Marvell 1) Binary redistribution (Marvell 2)
ii  firmware-misc-nonfree          1:20161130-3+rpt4              all    Binary firmware for various drivers in the Linux kernel      BSD (3Com) BSD (Agere) BSD (Ikanos) BSD (Intel) BSD 2-clause BSD 4-clause (Kawasaki LSI) Binary redistribution Binary redistribution (Abilis) Binary redistribution (Chelsio) Binary redistribution (Comtrol) Binary redistribution (Conexant) Binary redistribution (Creative) Binary redistribution (DiBcom) Binary redistribution (ENE) Binary redistribution (ITEtech) Binary redistribution (Intel) Binary redistribution (Intel, narrower patent license) Binary redistribution (MTS) Binary redistribution (Matrox) Binary redistribution (MediaTek) Binary redistribution (Moxa) Binary redistribution (Ralink) Binary redistribution (Terratec) Binary redistribution (Xceive) License For Customer Use of NVIDIA Software Permissive (Advansys) Permissive (BayCom) Redistributable (Micronas) Redistributable (Sensoray)
ii  firmware-realtek               1:20161130-3+rpt4              all    Binary firmware for Realtek wired/wifi/BT adapters           Binary redistribution (Realtek permissive) Binary redistribution (Realtek restrictive)
ii  fontconfig-config              2.11.0-6.7                     all    generic font configuration library - configuration           unknown
ii  fonts-dejavu-core              2.37-1                         all    Vera font family derivate with additional characters         GPL-2+ bitstream-vera
ii  g++                            4:6.3.0-4                      armhf  GNU C++ compiler                                             GPL
ii  g++-6                          6.3.0-18+rpi1+deb9u1           armhf  GNU C++ compiler                                             Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc                            4:6.3.0-4                      armhf  GNU C compiler                                               GPL
ii  gcc-4.6-base:armhf             4.6.4-5+rpi1                   armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  gcc-4.7-base:armhf             4.7.3-11+rpi1                  armhf  GCC, the GNU Compiler Collection (base package)              Artistic GFDL-1.2 GPL GPL-2 GPL-3
