St  Name                           Version                        Arch   Description                                                  Licenses
ii  libdrm-amdgpu1:armhf           2.4.74-1                       armhf  Userspace interface to amdgpu-specific kernel DRM services - unknown
ii  libdrm-freedreno1:armhf        2.4.74-1                       armhf  Userspace interface to msm/kgsl kernel DRM services -- runti unknown
ii  libdrm-nouveau2:armhf          2.4.74-1                       armhf  Userspace interface to nouveau-specific kernel DRM services  unknown
ii  libdrm-radeon1:armhf           2.4.74-1                       armhf  Userspace interface to radeon-specific kernel DRM services - unknown
ii  libdrm2:armhf                  2.4.74-1                       armhf  Userspace interface to kernel DRM services -- runtime        unknown
ii  libdw1:armhf                   0.168-1                        armhf  library that provides access to the DWARF debug information  GPL-2 GPL-3 LGPL
ii  libebur128-1:armhf             1.2.2-2                        armhf  implementation of the EBU R128 loudness standard             BSD-3-clause Expat
ii  libedit2:armhf                 3.1-20160903-3                 armhf  BSD editline and history libraries                           unknown
ii  libegl1-mesa:armhf             13.0.6-1+rpi2                  armhf  free implementation of the EGL API -- runtime                GPL LGPL
ii  libelf1:armhf                  0.168-1                        armhf  library to read and write ELF files                          GPL-2 GPL-3 LGPL
ii  liberror-perl                  0.17024-1                      all    Perl module for error/exception handling in an OO-ish way    Artistic Artistic or GPL-1+ GPL-1+ MIT/X11
ii  libestr0                       0.1.10-2                       armhf  Helper functions for handling strings (lib)                  LGPL-2.1
ii  libev4                         1:4.22-1                       armhf  high-performance event loop library modelled after libevent  BSD-2-clause BSD-2-clause or GPL-2+ GPL-2+
ii  libevent-2.0-5:armhf           2.0.21-stable-3                armhf  Asynchronous event notification library                      BSD license
ii  libexpat1:armhf                2.2.0-2+deb9u3                 armhf  XML parsing C library - runtime library                      unknown
ii  libfakeroot:armhf              1.21-3.1                       armhf  tool for simulating superuser privileges - shared libraries  Artistic GPL-3
ii  libfastjson4:armhf             0.99.4-1                       armhf  fast json library for C                                      Apache-2.0 Expat
ii  libfdisk1:armhf                2.29.2-1+deb9u1                armhf  fdisk partitioning library                                   BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libffi-dev:armhf               3.2.1-6                        armhf  Foreign Function Interface library (development files)       GPL
ii  libffi6:armhf                  3.2.1-6                        armhf  Foreign Function Interface library runtime                   GPL
ii  libfftw3-double3:armhf         3.3.5-3                        armhf  Library for computing Fast Fourier Transforms - Double preci GPL-2
ii  libfftw3-single3:armhf         3.3.5-3                        armhf  Library for computing Fast Fourier Transforms - Single preci GPL-2
ii  libfile-fcntllock-perl         0.22-3+b2                      armhf  Perl module for file locking with fcntl(2)                   Artistic Artistic or GPL-1+ GPL-1+
ii  libfindlib-ocaml               1.6.2-1                        armhf  library for managing OCaml libraries (runtime)               findlib ocaml
ii  libfindlib-ocaml-dev           1.6.2-1                        armhf  library for managing OCaml libraries (development files)     findlib ocaml
ii  libflac++-dev:armhf            1.3.2-2+deb9u1                 armhf  Free Lossless Audio Codec - C++ development library          BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain
ii  libflac++6v5:armhf             1.3.2-2+deb9u1                 armhf  Free Lossless Audio Codec - C++ runtime library              BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain
ii  libflac-dev:armhf              1.3.2-2+deb9u1                 armhf  Free Lossless Audio Codec - C development library            BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain
ii  libflac-doc                    1.3.2-2+deb9u1                 all    Free Lossless Audio Codec - library documentation            BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain
ii  libflac-ocaml                  0.1.1-4                        armhf  OCaml interface to the flac library -- runtime files         GPL GPL-2
ii  libflac-ocaml-dev              0.1.1-4                        armhf  OCaml interface to the flac library -- development files     GPL GPL-2
ii  libflac8:armhf                 1.3.2-2+deb9u1                 armhf  Free Lossless Audio Codec - runtime C library                BSD-3-clause GFDL-1.1+ GPL-2+ GPL-2+ or LGPL-2.1+ ISC LGPL-2+ LGPL-2.1+ Public-domain
ii  libflite1:armhf                2.0.0-release-3                armhf  Small run-time speech synthesis engine - shared libraries    GPL-2 GPL-3
ii  libfontconfig1:armhf           2.11.0-6.7                     armhf  generic font configuration library - runtime                 unknown
ii  libfreetype6:armhf             2.6.3-3.2+deb9u2               armhf  FreeType 2 font engine, shared library files                 BSD-2-Clause BSD-3-Clause Catharon-OSL FTL GPL-2+ GPL-2+ or FTL GZip OpenGroup-BSD-like
ii  libfreetype6-dev               2.6.3-3.2+deb9u2               armhf  FreeType 2 font engine, development files                    BSD-2-Clause BSD-3-Clause Catharon-OSL FTL GPL-2+ GPL-2+ or FTL GZip OpenGroup-BSD-like
ii  libfribidi0:armhf              0.19.7-1+deb9u1                armhf  Free Implementation of the Unicode BiDi algorithm            LGPL-2.1+
ii  libftdi1:armhf                 0.20-4                         armhf  Library to control and program the FTDI USB controller       LGPL-2.1
ii  libgbm1:armhf                  13.0.6-1+rpi2                  armhf  generic buffer management API -- runtime                     GPL LGPL
ii  libgcc-6-dev:armhf             6.3.0-18+rpi1+deb9u1           armhf  GCC support library (development files)                      Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgcc1:armhf                  1:6.3.0-18+rpi1+deb9u1         armhf  GCC support library                                          Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgcrypt20:armhf              1.7.6-2+deb9u3                 armhf  LGPL Crypto library - runtime library                        GPL-2 LGPL
ii  libgdbm3:armhf                 1.8.3-14                       armhf  GNU dbm database routines (runtime version)                  GPL-2
ii  libgeoip1:armhf                1.6.9-4                        armhf  non-DNS IP-to-country resolver library                       ISC LGPL-2.1+
ii  libgirepository-1.0-1:armhf    1.50.0-1                       armhf  Library for handling GObject introspection data (runtime lib BSD-2-clause GPL-2+ LGPL-2+ MIT
ii  libgl1-mesa-dri:armhf          13.0.6-1+rpi2                  armhf  free implementation of the OpenGL API -- DRI modules         GPL LGPL
ii  libgl1-mesa-glx:armhf          13.0.6-1+rpi2                  armhf  free implementation of the OpenGL API -- GLX runtime         GPL LGPL
ii  libglapi-mesa:armhf            13.0.6-1+rpi2                  armhf  free implementation of the GL API -- shared library          GPL LGPL
ii  libglib2.0-0:armhf             2.50.3-2+deb9u2                armhf  GLib library of C routines                                   LGPL
ii  libglib2.0-data                2.50.3-2+deb9u2                all    Common files for GLib library                                LGPL
ii  libgme0:armhf                  0.6.0-4                        armhf  Playback library for video game music files - shared library LGPL-2.1
ii  libgmp10:armhf                 2:6.1.2+dfsg-1                 armhf  Multiprecision arithmetic library                            GPL GPL-2 GPL-3 LGPL-3
ii  libgnutls-dane0:armhf          3.5.8-5+deb9u5                 armhf  GNU TLS library - DANE security support                      GFDL-1.3 GPL GPL-3 LGPL LGPL-3
ii  libgnutls30:armhf              3.5.8-5+deb9u5                 armhf  GNU TLS library - main runtime library                       GFDL-1.3 GPL GPL-3 LGPL LGPL-3
ii  libgomp1:armhf                 6.3.0-18+rpi1+deb9u1           armhf  GCC OpenMP (GOMP) support library                            Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgpg-error0:armhf            1.26-2                         armhf  library for common error values and messages in GnuPG compon GPL-2.1+
ii  libgpm2:armhf                  1.20.4-6.2                     armhf  General Purpose Mouse - shared library                       GPL-2
ii  libgraphite2-3:armhf           1.3.10-1                       armhf  Font rendering engine for Complex Scripts -- library         Artistic or GPL-1+ GPL1+ | Artistic LGPL | other LGPL-2+ MPL-1.1 | GPL-2 | LGPL-2.1 other
ii  libgsm1:armhf                  1.0.13-4                       armhf  Shared libraries for GSM speech compressor                   unknown
ii  libgssapi-krb5-2:armhf         1.15-1+deb9u2                  armhf  MIT Kerberos runtime libraries - krb5 GSS-API Mechanism      GPL-2
ii  libharfbuzz0b:armhf            1.4.2-1                        armhf  OpenType text shaping engine (shared library)                MIT
ii  libhogweed4:armhf              3.3-1                          armhf  low level cryptographic library (public-key cryptos)         GAP GPL-2 GPL-2+ GPL-2+ with Autoconf exception LGPL-2+ LGPL-2.1+ other public-domain
ii  libice6:armhf                  2:1.0.9-2                      armhf  X11 Inter-Client Exchange library                            unknown
ii  libicu57:armhf                 57.1-6+deb9u4                  armhf  International Components for Unicode                         unknown
ii  libid3tag0:armhf               0.15.1b-12                     armhf  ID3 tag reading library from the MAD project                 GPL
ii  libident                       0.22-3.1                       armhf  simple RFC1413 client library - runtime                      Public Domain
ii  libidn11:armhf                 1.33-1+deb9u1                  armhf  GNU Libidn library, implementation of IETF IDN specification GAP GFDL-1.3+ GPL-3+ LGPL-2.1+ LGPL-3+ or GPL-2+
ii  libidn2-0:armhf                0.16-1+deb9u1                  armhf  Internationalized domain names (IDNA2008) library            GPL-3+ LGPL-3+ or GPL-2+ Unicode
ii  libiec61883-0:armhf            1.2.0-2                        armhf  partial implementation of IEC 61883 (shared lib)             LGPL
ii  libip4tc0:armhf                1.6.0+snapshot20161117-6       armhf  netfilter libip4tc library                                   Artistic-2 GPL-2 GPL-2+ custom
ii  libip6tc0:armhf                1.6.0+snapshot20161117-6       armhf  netfilter libip6tc library                                   Artistic-2 GPL-2 GPL-2+ custom
ii  libiptc0:armhf                 1.6.0+snapshot20161117-6       armhf  netfilter libiptc library                                    Artistic-2 GPL-2 GPL-2+ custom
ii  libisc-export160               1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  Exported ISC Shared Library                                  unknown
ii  libisc160:armhf                1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  ISC Shared Library used by BIND                              unknown
ii  libisccc140:armhf              1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  Command Channel Library used by BIND                         unknown
ii  libisccfg140:armhf             1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  Config File Handling Library used by BIND                    unknown
ii  libisl15:armhf                 0.18-1                         armhf  manipulating sets and relations of integer points bounded by BSD-2-clause LGPL-2.1+ MIT
ii  libiw30:armhf                  30~pre9-12                     armhf  Wireless tools - library                                     GPL-2 LGPL-2.1
ii  libjack-jackd2-0:armhf         1.9.10+20150825git1ed50c92~dfs armhf  JACK Audio Connection Kit (libraries)                        BSD-3-clause Expat Expat~modrequest GPL-2 GPL-2+ GPL-2~either GPL-2~jack-audio-connection-kit GPL-2~jackd2 GPL-2~or GPL-3+ LGPL-2+ LGPL-2.1+ None public-domain~Kroon
ii  libjim0.76:armhf               0.76-2                         armhf  small-footprint implementation of Tcl - shared library       BSD-2-clause TCL
ii  libjpeg62-turbo:armhf          1:1.5.1-2+deb9u1               armhf  libjpeg-turbo JPEG runtime library                           BSD-3 BSD-BY-LC-NE Expat
ii  libk5crypto3:armhf             1.15-1+deb9u2                  armhf  MIT Kerberos runtime libraries - Crypto Library              GPL-2
ii  libkeyutils1:armhf             1.5.9-9                        armhf  Linux Key Management Utilities (library)                     GPL-2+ LGPL-2+
ii  libklibc                       2.0.4-9+rpi1                   armhf  minimal libc subset for use with initramfs                   GPL-2
ii  libkmod2:armhf                 23-2                           armhf  libkmod shared library                                       GPL-2 LGPL-2.1
ii  libkrb5-3:armhf                1.15-1+deb9u2                  armhf  MIT Kerberos runtime libraries                               GPL-2
ii  libkrb5support0:armhf          1.15-1+deb9u2                  armhf  MIT Kerberos runtime libraries - Support library             GPL-2
ii  libksba8:armhf                 1.3.5-2                        armhf  X.509 and CMS support library                                GPL-3
ii  libldap-2.4-2:armhf            2.4.44+dfsg-5+deb9u8           armhf  OpenLDAP libraries                                           unknown
ii  libldap-common                 2.4.44+dfsg-5+deb9u8           all    OpenLDAP common files for libraries                          unknown
ii  libllvm3.9:armhf               1:3.9.1-9+rpi1                 armhf  Modular compiler and toolchain technologies, runtime library ARM Apple BSD-3-Clause BSD-3-clause Expat LLVM MIT NCSA Polly Python U-OF-I-BSD-LIKE U-OF-I-BSD-LIKE or MIT public-domain
ii  liblocale-gettext-perl         1.07-3+b1                      armhf  module using libc functions for internationalization in Perl Artistic Artistic or GPL-1+ GPL-1+
ii  liblogging-stdlog0:armhf       1.0.5-2                        armhf  easy to use and lightweight logging library                  BSD-2-Clause
ii  liblognorm5:armhf              2.0.1-1.1                      armhf  log normalizing library                                      Apache-2.0 LGPL-2.1
ii  libltdl-dev:armhf              2.4.6-2                        armhf  System independent dlopen wrapper for GNU libtool            GFDL GPL
ii  libltdl7:armhf                 2.4.6-2                        armhf  System independent dlopen wrapper for GNU libtool            GFDL GPL
ii  libluajit-5.1-common           2.0.4+dfsg-1+deb9u1            all    Just in time compiler for Lua - common files                 MIT/X PD
ii  liblwres141:armhf              1:9.10.3.dfsg.P4-12.3+deb9u8   armhf  Lightweight Resolver Library used by BIND                    unknown
ii  liblz4-1:armhf                 0.0~r131-2                     armhf  Fast LZ compression algorithm library - runtime              BSD-2-clause GPL-2+
ii  liblzma5:armhf                 5.2.2-1.2                      armhf  XZ-format compression library                                Autoconf GPL-2 GPL-2+ LGPL-2.1+ PD PD-debian config-h noderivs none permissive-fsf permissive-nowarranty probably-PD
ii  libmad0:armhf                  0.15.1b-8+deb9u1               armhf  MPEG audio decoder library                                   GPL
ii  libmagic-mgc                   1:5.30-1+deb9u3                armhf  File type determination library using "magic" numbers (compi BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  libmagic1:armhf                1:5.30-1+deb9u3                armhf  Recognize the type of data in a file using "magic" numbers - BSD-2-Clause-alike BSD-2-Clause-netbsd BSD-2-Clause-regents MIT-Old-Style-with-legal-disclaimer-2 public-domain
ii  libmnl-dev                     1.0.4-2                        armhf  minimalistic Netlink communication library (devel)           GPL-2+ LGPL-2.1
ii  libmnl0:armhf                  1.0.4-2                        armhf  minimalistic Netlink communication library                   GPL-2+ LGPL-2.1
ii  libmosquitto1:armhf            1.4.10-3+deb9u4                armhf  MQTT version 3.1/3.1.1 client library                        BSD-1-clause EDL-1.0 EPL-1.0 EPL-1.0 or EDL-1.0
ii  libmount1:armhf                2.29.2-1+deb9u1                armhf  device mounting library                                      BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  libmp3lame0:armhf              3.99.5+repack1-9               armhf  MP3 encoding library                                         BSD-3-clause GPL-1+ LGPL-2+ LGPL-2.1+ zlib/libpng
ii  libmpc3:armhf                  1.0.3-1                        armhf  multiple precision complex floating-point library            LGPL-2.1
ii  libmpdec2:armhf                2.4.2-1                        armhf  library for decimal floating point arithmetic (runtime libra BSD GPL-2+
ii  libmpfr4:armhf                 3.1.5-1                        armhf  multiple precision floating-point computation                GFDL-1.2 LGPL-3
ii  libmpg123-0:armhf              1.23.8-1                       armhf  MPEG layer 1/2/3 audio decoder (shared library)              LGPL-2.1
ii  libmtp-common                  1.1.13-1                       all    Media Transfer Protocol (MTP) common files                   GPL-2+ LGPL-2+ LGPL-2.1+
ii  libmtp-runtime                 1.1.13-1                       armhf  Media Transfer Protocol (MTP) runtime tools                  GPL-2+ LGPL-2+ LGPL-2.1+
ii  libmtp9:armhf                  1.1.13-1                       armhf  Media Transfer Protocol (MTP) library                        GPL-2+ LGPL-2+ LGPL-2.1+
ii  libncurses5:armhf              6.0+20161126-1+deb9u2          armhf  shared libraries for terminal handling                       unknown
ii  libncurses5-dev:armhf          6.0+20161126-1+deb9u2          armhf  developer's libraries for ncurses                            unknown
ii  libncursesw5:armhf             6.0+20161126-1+deb9u2          armhf  shared libraries for terminal handling (wide character suppo unknown
ii  libnetfilter-conntrack3:armhf  1.0.6-2                        armhf  Netfilter netlink-conntrack library                          GPL-2+
ii  libnettle6:armhf               3.3-1                          armhf  low level cryptographic library (symmetric and one-way crypt GAP GPL-2 GPL-2+ GPL-2+ with Autoconf exception LGPL-2+ LGPL-2.1+ other public-domain
ii  libnewt0.52:armhf              0.52.19-1                      armhf  Not Erik's Windowing Toolkit - text mode windowing with slan LGPL-2
ii  libnfnetlink0:armhf            1.0.1-3                        armhf  Netfilter netlink library                                    GPL
ii  libnfsidmap2:armhf             0.25-5.1                       armhf  NFS idmapping library                                        unknown
ii  libnghttp2-14:armhf            1.18.1-1+deb9u1                armhf  library implementing HTTP/2 protocol (shared library)        BSD-2-clause Expat GPL-3+ with autoconf exception MIT SIL-OFL-1.1 all-permissive
ii  libnih-dbus1                   1.0.3-8                        armhf  NIH D-Bus Bindings Library                                   GPL-2
ii  libnih1                        1.0.3-8                        armhf  NIH Utility Library                                          GPL-2
ii  libnl-3-200:armhf              3.2.27-2                       armhf  library for dealing with netlink sockets                     GPL-2 LGPL-2.1
ii  libnl-genl-3-200:armhf         3.2.27-2                       armhf  library for dealing with netlink sockets - generic netlink   GPL-2 LGPL-2.1
ii  libnpth0:armhf                 1.3-1                          armhf  replacement for GNU Pth using system threads                 GPL-2+ GPL-2+ or LGPL-3+ LGPL-3+
ii  libnss-mdns:armhf              0.10-8                         armhf  NSS module for Multicast DNS name resolution                 LGPL-2+
ii  libogg-dev:armhf               1.3.2-1                        armhf  Ogg bitstream library development files                      unknown
ii  libogg-ocaml                   0.4.5-1+b2                     armhf  OCaml bindings for the Ogg bitstream library                 GPL-3 LGPL-2.1
ii  libogg-ocaml-dev               0.4.5-1+b2                     armhf  OCaml bindings for the Ogg bitstream library                 GPL-3 LGPL-2.1
ii  libogg0:armhf                  1.3.2-1                        armhf  Ogg bitstream library                                        unknown
ii  libopenal-data                 1:1.17.2-4                     all    Software implementation of the OpenAL audio API (data files) Apache BSD-3-clause-cmake Expat GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libopenal1:armhf               1:1.17.2-4                     armhf  Software implementation of the OpenAL audio API (shared libr Apache BSD-3-clause-cmake Expat GPL-2+ GPL-3+ LGPL-2+ LGPL-2.1+
ii  libopencore-amrnb0:armhf       0.1.3-2.1                      armhf  Adaptive Multi Rate speech codec - shared library            Apache-2.0 GPL-3
ii  libopencore-amrwb0:armhf       0.1.3-2.1                      armhf  Adaptive Multi-Rate - Wideband speech codec - shared library Apache-2.0 GPL-3
ii  libopencv-core2.4v5:armhf      2.4.9.1+dfsg1-2                armhf  computer vision core library                                 unknown
ii  libopencv-imgproc2.4v5:armhf   2.4.9.1+dfsg1-2                armhf  computer vision Image Processing library                     unknown
ii  libopenjp2-7:armhf             2.1.2-1.1+deb9u6               armhf  JPEG 2000 image compression/decompression library            BSD-2 BSD-3 LIBPNG LIBTIFF LIBTIFF-GLARSON LIBTIFF-PIXAR MIT ZLIB public-domain
ii  libopenmpt0:armhf              0.2.7386~beta20.3-3+deb9u4     armhf  module music library based on OpenMPT -- shared library      BSD-3-clause GNU-All-Permissive-License GNU-All-Permissive-License-FSF GPL2+-libtool GPL2+-with-Autoconf-exception GPL3+-with-Autoconf-Macros-exception GPL3+-with-Autoconf-exception X11
ii  libopts25:armhf                1:5.18.12-3                    armhf  automated option processing library based on autogen         GPL-2+ GPL-2+ or LGPL-3+ or Modified_BSD GPL-3+ GPL-3+. LGPL-2.1+ LGPL-3+ LGPL-3+ or Modified_BSD Modified_BSD
ii  libopus0:armhf                 1.2~alpha2-1                   armhf  Opus codec runtime library                                   unknown
ii  libp11-kit0:armhf              0.23.3-2+deb9u1                armhf  library for loading and coordinating access to PKCS#11 modul BSD-3-Clause ISC ISC+IBM permissive-like-automake-output same-as-rest-of-p11kit
ii  libpam-chksshpwd:armhf         1.1.8-3.6+rpi1                 armhf  PAM module to enable SSH password checking support           GPL
ii  libpam-modules:armhf           1.1.8-3.6+rpi1                 armhf  Pluggable Authentication Modules for PAM                     GPL
ii  libpam-modules-bin             1.1.8-3.6+rpi1                 armhf  Pluggable Authentication Modules for PAM - helper binaries   GPL
ii  libpam-runtime                 1.1.8-3.6+rpi1                 all    Runtime support for the PAM library                          GPL
ii  libpam-systemd:armhf           232-25+deb9u12                 armhf  system and service manager - PAM module                      CC0 Expat GPL-2 GPL-2+ LGPL-2.1+ public-domain
ii  libpam0g:armhf                 1.1.8-3.6+rpi1                 armhf  Pluggable Authentication Modules library                     GPL
ii  libparted2:armhf               3.2-17                         armhf  disk partition manipulator - shared library                  GPL-3
ii  libpcre3:armhf                 2:8.39-3                       armhf  Old Perl 5 Compatible Regular Expression Library - runtime f "BSD" LICENCE "BSD" License
ii  libpcsclite1:armhf             1.8.20-1                       armhf  Middleware to access a smart card using PC/SC (library)      BSD-3-clause Expat GPL-3+ ISC
ii  libperl5.24:armhf              5.24.1-3+deb9u7                armhf  shared Perl library                                          Artistic Artistic-2 BSD-3-clause BSD-3-clause-GENERIC BSD-3-clause-with-weird-numbering BSD-4-clause-POWERDOG BZIP CC0-1.0 DONT-CHANGE-THE-GPL Expat Expat or GPL-1+ or Artistic GPL-1+ GPL-1+ or Artistic GPL-1+ or Artistic, GPL-2+ GPL-2+ or Artistic GPL-3+-WITH-BISON-EXCEPTION HSIEH-BSD HSIEH-DERIVATIVE HSIEH-DERIVATIVE or HSIEH-BSD or LGPL-2.1 LGPL-2.1 REGCOMP REGCOMP, RRA-KEEP-THIS-NOTICE S2P SDBM-PUBLIC-DOMAIN TEXT-TABS Unicode ZLIB
ii  libpgm-5.2-0:armhf             5.2.122~dfsg-2                 armhf  OpenPGM shared library                                       BSD-3-clause ISC LGPL-2+ LGPL-2.1
ii  libpipeline1:armhf             1.4.1-2                        armhf  pipeline manipulation library                                GPL-2+ GPL-3+
ii  libpixman-1-0:armhf            0.34.0-1+rpi1                  armhf  pixel-manipulation library for X and cairo                   MIT license
ii  libplymouth4:armhf             0.9.2-4+rpi1                   armhf  graphical boot animation and logger - shared libraries       GPL-2+ other
ii  libpng-dev:armhf               1.6.28-1+deb9u1                armhf  PNG library - development (version 1.6)                      BSD-like-with-advertising-clause GPL-2+ GPL-2+ or BSD-like-with-advertising-clause expat libpng
ii  libpng-tools                   1.6.28-1+deb9u1                armhf  PNG library - tools (version 1.6)                            BSD-like-with-advertising-clause GPL-2+ GPL-2+ or BSD-like-with-advertising-clause expat libpng
ii  libpng16-16:armhf              1.6.28-1+deb9u1                armhf  PNG library - runtime (version 1.6)                          BSD-like-with-advertising-clause GPL-2+ GPL-2+ or BSD-like-with-advertising-clause expat libpng
ii  libpopt0:armhf                 1.16-10                        armhf  lib for parsing cmdline parameters                           GPL-2+ X-Consortium
ii  libportaudio2:armhf            19.6.0-1                       armhf  Portable audio I/O - shared library                          unknown
ii  libpostproc54:armhf            7:3.2.15-0+deb9u2              armhf  FFmpeg library for post processing - runtime files           BSD-1-clause BSD-2-clause BSD-3-clause BSL Expat FSF GPL-2+ GPL-2+ with Avisynth exception GPL-3+ IJG ISC LGPL-2+ LGPL-2.1+ Sundry Zlib man-page public-domain
ii  libprocps6:armhf               2:3.3.12-3+deb9u1              armhf  library for accessing process information from /proc         GPL-2.0+ LGPL-2.0+ LGPL-2.1+
ii  libpsl5:armhf                  0.17.0-3                       armhf  Library for Public Suffix List (shared libraries)            Chromium MIT
ii  libpulse0:armhf                10.0-1+deb9u1                  armhf  PulseAudio client libraries                                  GPL-2 LGPL-2 LGPL-2.1
ii  libpython-stdlib:armhf         2.7.13-2                       armhf  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  libpython2.7-minimal:armhf     2.7.13-2+deb9u4                armhf  Minimal subset of the Python language (version 2.7)          Apache-2.0 GPL-2
ii  libpython2.7-stdlib:armhf      2.7.13-2+deb9u4                armhf  Interactive high-level object-oriented language (standard li Apache-2.0 GPL-2
ii  libpython3-stdlib:armhf        3.5.3-1                        armhf  interactive high-level object-oriented language (default pyt GPL-compatible GPL-compatible licenses
ii  libpython3.5:armhf             3.5.3-1+deb9u4                 armhf  Shared Python runtime library (version 3.5)                  Apache-2.0 GPL-2
ii  libpython3.5-minimal:armhf     3.5.3-1+deb9u4                 armhf  Minimal subset of the Python language (version 3.5)          Apache-2.0 GPL-2
ii  libpython3.5-stdlib:armhf      3.5.3-1+deb9u4                 armhf  Interactive high-level object-oriented language (standard li Apache-2.0 GPL-2
ii  libraspberrypi-bin             1.20190819~stretch-1           armhf  Miscellaneous Raspberry Pi utilities                         Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi-dev             1.20190819~stretch-1           armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi-doc             1.20190819~stretch-1           armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraspberrypi0                1.20190819~stretch-1           armhf  EGL/GLES/OpenVG/etc. libraries for the Raspberry Pi's VideoC Broadcom GPL-2 MIT or Apache-2 (FIXME)
ii  libraw1394-11:armhf            2.1.2-1                        armhf  library for direct access to IEEE 1394 bus (aka FireWire)    GPL LGPL
ii  libreadline6:armhf             6.3-9                          armhf  GNU readline and history libraries, run-time libraries       GPL-3
ii  libreadline7:armhf             7.0-3                          armhf  GNU readline and history libraries, run-time libraries       GFDL GPL-3
ii  librtmp1:armhf                 2.4+20151223.gitfa8646d.1-1    armhf  toolkit for RTMP streams (shared library)                    GPL-2 LGPL-2.1
ii  librubberband2:armhf           1.8.1-7                        armhf  audio time-stretching and pitch-shifting library             GPL-2+ other-1 other-bsd-3-clause-kissft other-bsd-3-clause-speex other-bsd-4-clause-1 other-bsd-4-clause-2 zlib
ii  libsamplerate0:armhf           0.1.8-8                        armhf  Audio sample rate conversion library                         GPL
ii  libsasl2-2:armhf               2.1.27~101-g0780600+dfsg-3+deb armhf  Cyrus SASL - authentication abstraction library              BSD-4-clause GPL-3+
ii  libsasl2-modules:armhf         2.1.27~101-g0780600+dfsg-3+deb armhf  Cyrus SASL - pluggable authentication modules                BSD-4-clause GPL-3+
ii  libsasl2-modules-db:armhf      2.1.27~101-g0780600+dfsg-3+deb armhf  Cyrus SASL - pluggable authentication modules (DB)           BSD-4-clause GPL-3+
ii  libsdl2-2.0-0:armhf            2.0.5+dfsg1-2+rpt1             armhf  Simple DirectMedia Layer                                     BSD-3-clause BSD-3-clause-chromium BrownUn_UnCalifornia_ErikCorry Expat-like Gareth_McCaughan LGPL-2.1+ MIT/X11 PublicDomain_David_Ludwig PublicDomain_Edgar_Simo PublicDomain_Sam_Lantinga RSA_Data_Security SGI-Free-Software-License-B SunPro zlib/libpng
ii  libseccomp2:armhf              2.3.1-2.1+deb9u1               armhf  high level interface to Linux seccomp filter                 LGPL-2.0+
ii  libselinux1:armhf              2.6-3                          armhf  SELinux runtime shared libraries                             GPL-2 LGPL-2.1
ii  libsemanage-common             2.6-2                          all    Common files for SELinux policy management libraries         GPL LGPL
ii  libsemanage1:armhf             2.6-2                          armhf  SELinux policy management library                            GPL LGPL
ii  libsensors4:armhf              1:3.4.0-4                      armhf  library to read temperature/voltage/fan sensors              GPL GPL-2
ii  libsepol1:armhf                2.6-2                          armhf  SELinux library for manipulating binary security policies    GPL LGPL
ii  libshine3:armhf                3.1.0-5                        armhf  Fixed-point MP3 encoding library - runtime files             GPL-2+ LGPL-2
ii  libsigc++-1.2-5c2              1.2.7-2+b1                     armhf  type-safe Signal Framework for C++ - runtime                 LGPL
ii  libsigc++-2.0-0v5:armhf        2.10.0-1                       armhf  type-safe Signal Framework for C++ - runtime                 LGPL-2.1
ii  libsigsegv2:armhf              2.10-5                         armhf  Library for handling page faults in a portable way           GPL
ii  libslang2:armhf                2.3.1-5                        armhf  S-Lang programming library - runtime version                 GPL-2+
